Goblet_STEAP4+_n,Goblet_STEAP4+_l,Goblet_STEAP4+_p,Club_DHRS9+_n,Club_DHRS9+_l,Club_DHRS9+_p,iavEpi_n,iavEpi_l,iavEpi_p,Basal_SERPINE1+_n,Basal_SERPINE1+_l,Basal_SERPINE1+_p,Basal_SERPINE2+_n,Basal_SERPINE2+_l,Basal_SERPINE2+_p,Goblet_RARRES1+_n,Goblet_RARRES1+_l,Goblet_RARRES1+_p,iavAT2_lip_n,iavAT2_lip_l,iavAT2_lip_p,Basal_IGFBP6+_n,Basal_IGFBP6+_l,Basal_IGFBP6+_p,iavClub_SAA1+_n,iavClub_SAA1+_l,iavClub_SAA1+_p,SupraB_KRT16+_n,SupraB_KRT16+_l,SupraB_KRT16+_p
RARRES3,2.6753528,0.0,SAMD9,2.5275705,3.9105900589184e-192,RPS27L,1.4200765,1.9363227246000794e-168,AMIGO2,6.3683043,0.0,KRT5,3.6302164,0.0,B4GALT5,2.2245998,8.446492989402444e-106,LUCAT1,4.2381816,4.021828990485589e-121,CTSH,1.5465543,9.555280075576308e-176,EIF1,0.8237869,7.065288651804339e-72,GJB2,3.5922518,7.082736386044459e-53
XAF1,2.59914,0.0,XAF1,2.269447,3.339670927006449e-187,RARRES3,2.1073346,9.89422472580742e-168,TUBB6,5.0133767,0.0,SEMA3C,4.3793693,0.0,VPS13D,2.5306945,4.6458001713892826e-105,DIP2B,3.668749,5.603387767989152e-120,RPL13,1.0461555,1.0655069708908988e-175,TAGLN2,1.493831,2.0983982670952676e-71,PLAU,3.782924,1.0905348758437956e-52
MX2,3.37887,0.0,QSOX1,1.9900076,4.5347563951976475e-187,DBI,1.4143953,9.293344632245742e-167,MMP14,4.1858735,0.0,TP63,5.2434664,0.0,IL1R1,2.9463038,1.3299727161412345e-102,TANGO6,5.1375694,7.202018741129289e-119,RPL7,1.025889,2.647821451908187e-175,TPT1,0.557506,3.5572675416427675e-71,RAB31,2.818548,4.412852986521357e-52
PSCA,4.297017,0.0,OAS3,2.7670767,8.678560720094746e-186,ATP5F1E,0.79781324,6.879414570146601e-165,TAP1,3.6318133,0.0,PALLD,3.588471,0.0,DUSP1,2.5042086,2.2893003561736497e-102,MT-ND3,0.64228415,1.158810968000154e-118,HSPB1,1.2524309,7.296801743529321e-175,RPL35A,0.59945905,5.299063566249611e-71,PGAM1,1.7641116,8.761894404635702e-52
CYP2F1,4.119554,0.0,TRIM14,2.3157837,3.765717957405587e-183,S100A6,0.94792557,3.784177453912602e-164,VIM,6.7292514,0.0,AHNAK2,5.1647816,0.0,TNFAIP2,2.8537426,1.4674829893274788e-101,AC108134.2,5.6926737,2.029741510483302e-118,RPS23,1.0136461,4.801974045449577e-174,RPS27L,1.1426836,5.336556357884559e-71,PKP1,4.1844177,3.7952617493511214e-51
FOS,2.3989868,0.0,OAS1,2.553902,3.804146980843518e-183,LGALS3,0.96376663,5.672450074401602e-153,FSCN1,4.819956,0.0,RBP1,5.0994277,0.0,DTX4,2.8740149,1.0546815194171462e-100,GIPC2,5.6059704,1.1657850817950468e-116,RPS28,0.97772086,4.633350210763781e-173,RPL9,0.62612706,6.149146689931672e-69,MARCKS,2.1020193,3.048687531411286e-50
RAB11FIP1,3.095979,0.0,RHOV,2.909597,3.961942705041769e-182,COX6A1,0.8736677,1.3416036092890194e-148,GJB2,4.582543,0.0,APP,1.9328865,0.0,BPIFA1,2.655057,4.563102895936907e-95,POLG2,5.042923,1.1956563610087072e-110,ALDH3A1,3.460568,2.2597021024565578e-170,RPL29,0.86146414,9.166138479439456e-69,SEMA4B,2.096019,4.2022188691563302e-50
ATP1B1,1.3710643,0.0,FUT3,2.8065994,8.60080792183802e-182,COX6C,0.9963579,1.5856142257910637e-148,IL1RN,4.147704,0.0,TAGLN,6.6914043,0.0,HLA-DRB1,2.5552115,1.781096961337953e-94,RERE,1.8699884,7.892739291676554e-108,RPL10,0.93456936,2.5701810928655494e-169,S100A6,0.799862,2.8498886586192433e-68,PSAP,1.0736986,5.053266704247966e-50
NR4A1,3.7384915,0.0,TMEM123,1.6176667,5.622713418516782e-181,RPS29,0.547722,1.7692452365467434e-148,PDPN,6.225222,0.0,MMP2,5.737041,0.0,GSTA1,2.9929051,2.0824138197795253e-93,RELB,4.7207494,6.4462844070602e-107,SH3BGRL3,1.7065159,2.2984032663712495e-168,PSAT1,2.918317,7.062470036409535e-68,YWHAZ,0.9993747,9.032037691461982e-50
B4GALT5,2.5690675,0.0,CAPNS1,1.0253916,3.93884825052117e-180,S100P,2.4092202,1.6043526752288066e-147,RTN4,2.0288787,0.0,ANXA5,2.382176,0.0,LRG1,2.8002942,2.7188526972861574e-93,AGBL2,5.8844886,1.764801625745462e-106,PDLIM1,1.7739929,5.912115903969561e-168,S100P,1.9772149,9.98242161385613e-68,SERPINB1,2.252551,1.8989603156785983e-48
