0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p
IGFBP5,3.454147,2.970226758354964e-221,TMSB10,0.74040157,1.559809485086703e-56,ASNS,2.6981823,2.184638752987225e-33,SEMA4B,2.1648211,2.8947307761488016e-76,CDT1,6.166296,8.575381044189365e-86,S100A11,0.3726973,1.9019023260986545e-22
SPA17,1.8616847,2.5977517863446367e-219,LDHA,1.6104182,2.3518586054861317e-56,ZBTB38,1.8797977,2.8926207279890193e-33,MT-CO3,0.6571861,2.212301044432998e-75,TBC1D15,3.0916922,1.2087887512657285e-85,RPL37,0.5880148,2.333505142886117e-22
DYDC2,2.2543778,6.929267829307268e-218,RPL6,0.43684444,3.1270688880119115e-56,PCK2,2.5577621,3.6352209896159314e-33,PTGES,3.5744805,2.292234960662104e-75,CEP41,2.4890165,1.9610383600025856e-85,RPL29,0.68990785,2.8481120513565675e-22
ARHGAP18,2.2949986,2.6519342675446324e-217,GRN,1.803634,7.0494466542075515e-56,SERPINB2,2.108664,1.1434503438397288e-32,RPS4X,0.75916994,2.3998269386400995e-75,DEUP1,3.9664679,3.454555523373876e-85,RPL32,0.4989662,5.847080224420274e-22
TEKT1,2.296544,3.400631141673877e-217,RPS8,0.3925179,7.759433908121348e-56,NAMPT,1.4683274,1.1541800401244078e-32,GPRC5A,2.8716094,4.709741965945895e-75,HNRNPA3,1.302998,5.664706454037531e-85,UBA52,0.5478359,3.256229550721467e-21
TTC25,2.7480826,8.272166492734276e-217,IER3,2.3761356,8.634099878138796e-56,PFN1,0.37126112,3.52367999918262e-32,NDRG1,3.7072694,7.577618992827463e-75,HELLS,5.2522073,6.5152420590292235e-84,RPS19,0.72090566,4.1558401427998664e-21
CFAP77,2.9372177,8.499421375233601e-216,S100A16,1.9895861,1.0041869719914283e-55,LURAP1L,1.9889702,6.560502386069152e-32,PLK2,2.6427898,1.635239072014623e-74,CHAF1B,4.9524117,7.128521983233357e-83,ISG20,2.1521568,4.245925206949888e-21
CFAP298,1.7305036,9.385112253758252e-216,COX7C,0.47565007,2.573017392989377e-55,NECTIN4,1.9361426,9.246610980666761e-32,CYP4X1,2.336888,4.095868556603622e-74,HNRNPM,1.6199435,1.6097299623361677e-81,RPL13A,0.41914767,4.6699101136772e-21
MS4A8,2.6640973,2.3814565431841455e-215,CXCL8,2.7181053,2.573017392989377e-55,ANXA1,0.49484777,1.9627910545640988e-31,TMSB10,0.9823623,7.300428694330685e-74,HYLS1,4.383837,3.821667826092497e-81,ATP5ME,0.5503938,8.009920579328038e-21
SLFN13,3.0006175,3.2861539785248994e-213,EEF1A1,0.31803086,1.2542218486290704e-54,GPR87,2.111565,2.980042071722838e-31,MDK,2.3244503,1.2735651279114871e-73,SKA3,6.42931,1.833491341656938e-80,FTH1,0.43620548,8.417916164403238e-21
BBOF1,2.342274,3.360178699894604e-213,PPDPF,0.6807302,1.6897737799762026e-54,IL18,1.4434065,1.5297806016830658e-30,FAM3C,1.5043195,3.1092998065227576e-73,AGO2,3.465674,2.6543212639547828e-80,ATP5MD,0.67942655,9.600444390198266e-21
NEK5,3.040286,6.94249378015923e-213,SPINT1,1.2281117,3.007516917007137e-54,FOSL2,1.8001794,2.2685466992431255e-30,MPZL2,2.2287016,3.8236926351643435e-73,MCIDAS,6.237835,3.826648999440166e-80,RPL34,0.43788978,9.60938177169112e-21
WDR63,2.4188795,1.8847573119716966e-212,PTGES,2.516212,8.097545480919978e-54,SOX9,2.3443038,3.678051527214459e-30,PPIA,0.69091123,4.425075263288809e-73,PLCE1,4.25339,6.274675441565736e-80,SLPI,0.8430357,1.0187293596754293e-20
MTSS1L,2.1161215,5.0665428945102645e-210,RPL26,0.7949634,8.744497110399299e-54,ZYX,1.5750905,3.743377136054853e-30,RPL37,0.8941686,7.52661165201687e-73,FANCI,4.759028,8.877566325778806e-80,PSME2,0.8617047,1.214601827482154e-20
ZMYND10,1.9724101,1.542276316618791e-208,AKR1C2,2.1114736,2.69325867510084e-53,ALDH1A3,0.72694355,3.797485544845981e-30,MARCKSL1,3.2429795,9.242588483357449e-73,PCSK6,5.1640925,2.633465506533355e-78,RPS2,0.48930562,1.478454713694595e-20
MAP6,3.1037216,1.6387453044689785e-208,RPL12,0.6646043,3.259112972358035e-53,GARS,1.5116807,5.289478741773402e-30,RPS23,0.93686247,9.704228782750742e-73,HNRNPAB,1.7969042,3.8315004783177594e-78,DYNLL1,0.61841786,1.727614015247501e-20
C17orf97,2.1807346,1.9317701436963263e-208,RPS26,0.59915197,1.3204833750123326e-52,MKNK2,1.0477788,1.593323361396131e-29,SLC25A6,1.6645745,5.198583870562133e-72,CCDC18,5.2179112,4.476841136469855e-78,RPS6,0.3532888,2.3652588915988505e-20
TCTN1,1.9810486,2.1748630077887234e-208,RPS25,0.6171476,1.9929884799350997e-52,TES,0.89514697,2.3986972096901695e-29,ARRDC3,3.2745078,1.4506659683232154e-71,ILF2,1.9561262,6.762444412983924e-78,RPS15A,0.5905657,4.161919923752769e-20
