0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p,6_n,6_l,6_p
RPL7,0.2967403,2.82620434584048e-101,CREB3L1,1.8308977,1.5021659264910527e-107,RPS28,0.618533,0.0,TMSB4X,0.21047504,3.5761239980956197e-37,ATF3,1.4704814,6.983125269832961e-58,SMAD3,1.1843737,1.2724779708336235e-65,HSPD1,0.6482442,1.8404871360323257e-46
MT-CYB,0.21935104,2.211633456777119e-99,ZFP36L1,0.48820412,4.5014108215665915e-107,UBA52,0.6229951,0.0,SLC46A3,1.0459926,4.340505965600977e-37,H3F3A,0.16524659,2.5728054474557683e-57,CD47,1.0702198,2.9301925963021666e-65,SINHCAF,1.1220615,2.2097583613844e-46
S100A2,0.8698309,5.866405935777627e-99,SORD,0.76477146,5.4198359057996664e-104,RPL29,0.7846379,0.0,APOL1,0.7253423,5.710603480091207e-37,HLA-DPA1,1.9090004,2.9742044181630204e-57,CX3CL1,1.6343774,5.547025607862689e-65,CBX3,0.53694224,6.274731724915207e-46
AHNAK,0.9612769,4.4619059950711337e-98,UGCG,0.95122766,5.4222586311632557e-104,RPL21,0.53005075,0.0,TMEM59,0.22350273,8.886905125854284e-37,DBI,0.47423548,2.3970174086232437e-56,CDH6,2.2811248,6.410783198471928e-65,ANXA1,0.63935024,8.462274041952755e-46
NQO1,1.2355353,8.478152088131739e-98,KLF9,1.3372759,2.3901416192431885e-103,RPS13,0.5357064,0.0,DNAJB9,1.0387242,1.2538429243846763e-36,SOD1,0.3785843,3.0436429015747967e-56,ANXA5,0.79050213,1.1970985688210883e-64,TSPAN14,1.2073636,1.281774064006299e-44
ANXA1,0.70227456,1.06660214830936e-97,KTN1,0.4518281,3.1953760638489447e-102,RPL7A,0.72324055,0.0,CEL,1.2849007,4.6796038492074545e-36,TNFSF10,0.3976465,1.3794296962796423e-54,ADAM9,0.80338097,1.2382012409240766e-64,LFNG,4.834003,2.0975807136222084e-44
CAPNS1,0.29503596,2.861271659916072e-97,LMO4,0.6930549,5.305975337039034e-102,ZNF385A,2.452365,0.0,ATP6V0B,0.40304092,9.804431248535206e-36,GSTA2,1.5177633,2.934324589986134e-54,PTGES,1.2533923,1.6294998897377255e-64,PPP1R14B,1.0821325,4.994224131135062e-44
HPGD,1.7375522,1.0391743441482407e-96,LRP10,0.5870086,1.3894474710083739e-101,RAC2,2.8143802,0.0,MT-CO1,0.15310432,2.765968151724755e-35,ATP5F1E,0.22886787,1.321697902349554e-52,ERRFI1,1.2349381,1.669366446705879e-64,SLC43A2,2.3629913,5.04505748935079e-44
ATP5MC3,0.33473516,9.925660681543358e-96,SMIM14,0.66816986,2.0964137763157965e-101,LAD1,2.5521219,0.0,TMPRSS2,1.1160085,4.85844235341683e-35,ZFP36,0.6111047,2.4490933697787363e-52,ACTN1,1.3947531,3.876403862988041e-64,TFF3,5.189936,1.7830112374648798e-43
SLC25A5,0.37387043,2.708785808261275e-95,LGALS8,0.4532454,6.46047920973143e-101,FSCN1,2.8743112,0.0,TMEM30A,0.592745,5.423499923033566e-35,RHOA,0.22333427,4.947440923859967e-52,TEAD2,1.836359,7.762358682364283e-64,HSBP1,0.63293916,1.3325004082353277e-42
STARD4,1.6485872,9.723992469520035e-95,HLA-A,0.3594336,9.498721990139399e-98,RPL10A,0.56586564,0.0,PIK3IP1,1.0295854,1.2273453804216974e-34,NCOA7,0.6260222,1.1847893445425769e-51,EDN1,1.9156902,3.20605162493951e-63,ABHD2,1.371214,3.9611547147132624e-42
